Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000057,Male,Yes,0,Graduate,No,3720,3720,192,360,1.0,Urban,Y
LP000058,Male,No,1,Not Graduate,No,5483,2024,127,180,1.0,Rural,Y
LP000059,Male,Yes,0,Graduate,No,6903,0,113,360,1.0,Semiurban,Y
LP000060,Male,Yes,0,Graduate,No,4939,12,163,360,1.0,Urban,Y
LP000061,Male,Yes,0,Not Graduate,Yes,7760,1502,196,360,1.0,Semiurban,Y
LP000062,Male,No,0,Graduate,No,10600,2295,132,360,1.0,Semiurban,Y
LP000063,Female,Yes,0,Not Graduate,No,3670,1709,203,360,1.0,Semiurban,Y
LP000064,Male,Yes,0,Graduate,No,2361,3750,224,360,1.0,Urban,Y
LP000065,Male,No,1,Not Graduate,No,6068,0,94,180,1.0,Rural,Y
LP000066,Male,No,1,Graduate,Yes,6987,2029,98,360,1.0,Urban,Y
LP000067,Male,No,2,Graduate,No,4892,0,137,360,0.0,Semiurban,N
LP000068,Female,Yes,0,Graduate,No,8597,3015,161,360,1.0,Urban,Y
LP000069,Male,Yes,0,Graduate,No,2455,1648,116,60,1.0,Semiurban,Y
LP000070,Female,No,0,Not Graduate,No,6924,2471,219,60,1.0,Semiurban,Y
LP000071,Male,No,1,Not Graduate,No,4067,417,168,120,1.0,Semiurban,N
LP000072,Male,Yes,1,Graduate,No,9182,3847,147,360,1.0,Urban,Y
LP000073,Male,Yes,0,Graduate,Yes,9783,3466,66,360,1.0,Rural,Y
LP000074,Female,Yes,3+,Not Graduate,No,3713,2733,72,360,1.0,Urban,Y
LP000075,Male,No,0,Not Graduate,No,4190,1592,160,360,1.0,Semiurban,Y
LP000076,Male,Yes,1,Graduate,No,7291,2727,27,360,1.0,Rural,Y
LP000077,Male,Yes,1,Graduate,No,4548,668,200,180,1.0,Semiurban,Y
LP000078,Male,Yes,2,Graduate,Yes,5300,3168,136,120,0.0,Rural,N
LP000079,Male,Yes,1,Graduate,No,5455,4439,323,120,1.0,Semiurban,Y
LP000080,Male,Yes,2,Graduate,No,1176,3512,271,360,1.0,Semiurban,Y
LP000081,Female,Yes,0,Graduate,No,5369,632,135,180,1.0,Rural,Y
LP000082,Male,Yes,2,Graduate,Yes,3882,2378,139,360,1.0,Urban,Y
LP000083,Male,Yes,0,Not Graduate,No,4315,0,199,360,1.0,Semiurban,Y
LP000084,Male,Yes,2,Graduate,No,8575,2715,238,180,1.0,Rural,Y
LP000085,Male,Yes,1,Graduate,No,2635,2520,54,360,1.0,Semiurban,Y
LP000086,Male,Yes,2,Graduate,No,7189,0,46,360,1.0,Urban,Y
LP000087,Male,Yes,0,Graduate,No,4786,0,110,360,1.0,Semiurban,Y
LP000088,Male,Yes,1,Graduate,No,4784,1346,177,180,1.0,Rural,Y
LP000089,Female,Yes,1,Graduate,Yes,7138,1318,172,180,1.0,Rural,Y
LP000090,Male,Yes,1,Graduate,No,6148,0,203,360,1.0,Semiurban,Y
LP000091,Male,Yes,0,Graduate,Yes,6655,2422,79,120,1.0,Semiurban,Y
LP000092,Male,No,0,Graduate,No,7530,2202,17,360,1.0,Rural,Y
LP000093,Male,Yes,0,Graduate,No,4671,1489,192,360,1.0,Urban,Y
LP000094,Male,No,0,Not Graduate,Yes,4053,590,99,180,0.0,Urban,N
LP000095,Male,Yes,2,Graduate,No,3012,3477,33,180,1.0,Rural,Y
LP000096,Male,No,0,Not Graduate,Yes,3584,4448,152,60,0.0,Rural,N
LP000097,Male,No,3+,Graduate,No,11888,1026,188,360,1.0,Rural,Y
LP000098,Male,Yes,0,Graduate,No,8138,820,138,180,1.0,Semiurban,Y
LP000099,Male,Yes,0,Graduate,Yes,2427,2585,119,180,1.0,Urban,Y
LP000100,Male,Yes,2,Graduate,No,2490,1227,136,120,0.0,Semiurban,N
LP000101,Male,Yes,1,Not Graduate,No,6460,1576,124,360,1.0,Urban,Y
LP000102,Male,No,0,Not Graduate,No,6603,2983,70,180,1.0,Urban,Y
LP000103,Male,No,1,Not Graduate,Yes,6607,0,105,180,1.0,Rural,N
LP000104,Male,No,1,Graduate,No,4839,3909,173,360,1.0,Urban,Y
LP000105,Female,Yes,0,Graduate,No,5124,1916,162,360,1.0,Rural,Y
LP000106,Male,No,3+,Graduate,No,6121,1141,154,360,0.0,Semiurban,N
LP000107,Male,No,3+,Graduate,Yes,5588,1657,90,180,0.0,Semiurban,N
LP000108,Male,Yes,1,Graduate,Yes,517,1739,135,120,1.0,Urban,N
LP000109,Male,Yes,0,Graduate,No,4894,0,25,180,0.0,Urban,N
LP000110,Male,No,1,Graduate,No,3526,4191,154,180,1.0,Urban,Y
LP000111,Male,Yes,0,Graduate,No,5785,1866,223,360,1.0,Rural,Y
LP000112,Male,No,0,Not Graduate,No,11967,2508,63,360,1.0,Rural,Y
LP000113,Female,Yes,0,Not Graduate,No,6208,3322,112,360,1.0,Semiurban,Y
LP000114,Female,No,0,Not Graduate,No,4710,166,163,360,0.0,Urban,N
LP000115,Male,Yes,2,Graduate,No,7427,2557,213,360,1.0,Rural,Y
LP000116,Female,Yes,1,Graduate,No,6461,1371,120,360,1.0,Urban,Y
LP000117,Female,Yes,1,Graduate,No,6324,3154,106,360,1.0,Urban,Y
LP000118,Male,No,0,Not Graduate,No,6735,0,36,360,1.0,Semiurban,Y
LP000119,Female,No,0,Graduate,No,9924,1641,150,360,1.0,Rural,Y
LP000120,Male,Yes,0,Graduate,No,2912,835,257,360,0.0,Urban,N
LP000121,Female,Yes,3+,Not Graduate,No,6441,2491,160,360,1.0,Urban,Y
LP000122,Female,No,0,Graduate,No,3361,2552,143,120,1.0,Rural,Y
LP000123,Male,Yes,2,Graduate,No,6622,667,162,120,1.0,Urban,Y
LP000124,Male,No,1,Graduate,No,3378,660,144,180,1.0,Urban,Y
LP000125,Male,Yes,0,Graduate,Yes,4481,1622,100,360,1.0,Semiurban,Y
LP000126,Male,Yes,1,Graduate,No,4750,365,190,180,1.0,Rural,Y
LP000127,Female,Yes,0,Graduate,No,7546,3147,157,120,1.0,Semiurban,Y
LP000128,Female,Yes,2,Graduate,No,7420,1209,145,180,1.0,Rural,Y
LP000129,Male,No,3+,Graduate,No,2659,0,91,360,1.0,Semiurban,N
LP000130,Male,Yes,0,Not Graduate,No,5520,1200,216,180,1.0,Urban,Y
LP000131,Male,Yes,0,Graduate,Yes,3838,138,181,120,1.0,Rural,Y
LP000132,Male,No,1,Graduate,No,2631,0,114,180,1.0,Semiurban,N
LP000133,Male,Yes,3+,Graduate,No,4922,0,200,180,1.0,Urban,Y
LP000134,Male,Yes,0,Not Graduate,No,4721,1975,117,360,0.0,Semiurban,N
LP000135,Female,No,1,Graduate,No,10738,3925,101,360,1.0,Urban,Y
LP000136,Male,Yes,1,Graduate,No,6352,2301,103,360,1.0,Urban,Y
LP000137,Male,Yes,1,Not Graduate,No,2369,829,47,180,1.0,Urban,Y
LP000138,Male,No,0,Not Graduate,No,4157,2529,170,360,1.0,Semiurban,Y
LP000139,Male,Yes,1,Graduate,Yes,7647,1065,44,360,1.0,Rural,Y
LP000140,Female,Yes,3+,Not Graduate,No,9994,688,77,360,0.0,Semiurban,N
LP000141,Female,Yes,0,Graduate,No,1910,0,30,360,1.0,Rural,N
LP000142,Male,No,0,Graduate,No,1264,0,140,360,1.0,Urban,N
LP000143,Male,Yes,3+,Graduate,No,9516,1176,136,180,1.0,Urban,Y
LP000144,Male,Yes,0,Graduate,Yes,6257,2052,127,180,1.0,Urban,Y
LP000145,Male,No,2,Not Graduate,No,3489,1645,87,360,1.0,Urban,Y
LP000146,Male,No,0,Graduate,Yes,6576,1134,80,360,0.0,Urban,N
LP000147,Male,Yes,0,Graduate,No,150,286,170,360,1.0,Rural,N
LP000148,Male,Yes,2,Not Graduate,No,5407,2773,114,120,1.0,Rural,Y
LP000149,Male,Yes,0,Not Graduate,Yes,6121,0,162,360,1.0,Rural,Y
LP000150,Male,No,1,Graduate,No,7433,3041,96,360,1.0,Urban,Y
LP000151,Female,Yes,0,Graduate,Yes,3169,196,154,360,1.0,Rural,Y
LP000152,Male,Yes,1,Graduate,No,5588,596,216,180,1.0,Urban,Y
LP000153,Male,No,0,Not Graduate,No,3364,0,177,120,1.0,Urban,Y
LP000154,Male,No,0,Graduate,Yes,5961,997,122,120,1.0,Rural,Y
LP000155,Female,Yes,3+,Not Graduate,No,3430,3360,159,180,1.0,Semiurban,Y
LP000156,Male,No,0,Graduate,Yes,4502,2625,131,360,0.0,Urban,N
LP000157,Male,Yes,1,Graduate,No,3209,3365,145,360,1.0,Semiurban,Y
LP000158,Male,No,0,Graduate,No,6832,2635,127,360,1.0,Urban,Y
LP000159,Male,Yes,2,Graduate,No,7288,34,135,360,1.0,Rural,Y
LP000160,Male,Yes,0,Graduate,Yes,4883,1270,156,360,1.0,Semiurban,Y
LP000161,Male,No,3+,Not Graduate,No,5484,551,90,360,1.0,Rural,N
LP000162,Male,Yes,0,Graduate,No,2213,3928,89,360,1.0,Urban,Y
LP000163,Male,Yes,0,Graduate,No,4740,0,68,120,1.0,Semiurban,Y
LP000164,Male,No,0,Not Graduate,No,5289,3229,56,180,0.0,Semiurban,N
LP000165,Male,No,0,Graduate,No,11165,3228,78,120,1.0,Semiurban,Y
LP000166,Female,Yes,1,Not Graduate,No,2953,4727,153,180,1.0,Urban,Y
LP000167,Male,No,0,Graduate,No,8621,1144,95,360,1.0,Rural,Y
LP000168,Male,Yes,2,Graduate,No,7593,2939,173,180,1.0,Rural,Y
LP000169,Male,Yes,0,Graduate,No,6017,5450,146,360,1.0,Rural,Y
LP000170,Male,Yes,0,Graduate,No,9268,811,36,180,0.0,Rural,N
LP000171,Male,Yes,1,Not Graduate,Yes,6218,0,181,360,1.0,Rural,Y
LP000172,Male,No,1,Graduate,No,6256,0,189,60,1.0,Semiurban,Y
LP000173,Male,Yes,0,Graduate,No,5283,2940,90,360,1.0,Rural,Y
LP000174,Male,Yes,0,Graduate,No,8091,0,168,360,1.0,Urban,Y
LP000175,Male,Yes,0,Graduate,No,7812,1204,97,120,1.0,Semiurban,Y
LP000176,Male,No,1,Not Graduate,No,4023,2499,150,360,1.0,Urban,Y
LP000177,Male,Yes,1,Graduate,Yes,2497,2096,75,180,1.0,Semiurban,Y
LP000178,Male,Yes,0,Graduate,No,4953,2480,46,180,1.0,Urban,Y
LP000179,Female,Yes,2,Not Graduate,No,3639,2155,123,120,1.0,Rural,Y
LP000180,Male,Yes,2,Graduate,No,5260,3846,138,60,0.0,Urban,N
LP000181,Male,Yes,1,Not Graduate,No,8122,276,123,60,1.0,Urban,Y
LP000182,Male,No,2,Graduate,No,4393,716,79,360,1.0,Semiurban,Y
LP000183,Female,No,0,Graduate,No,5305,563,123,120,1.0,Urban,Y
LP000184,Female,Yes,0,Graduate,No,5527,3128,159,180,1.0,Urban,Y
LP000185,Male,No,0,Not Graduate,No,7266,3240,142,180,1.0,Urban,Y
LP000186,Male,No,0,Not Graduate,Yes,456,2521,155,360,1.0,Semiurban,N
LP000187,Female,No,1,Graduate,No,4065,3693,108,180,1.0,Semiurban,Y
LP000188,Male,Yes,3+,Graduate,No,5864,0,209,60,1.0,Rural,Y
LP000189,Male,Yes,0,Graduate,Yes,8040,4467,80,120,1.0,Rural,Y
LP000190,Male,Yes,0,Graduate,No,4317,4237,171,360,0.0,Semiurban,N
LP000191,Male,Yes,0,Graduate,No,1271,2976,210,360,1.0,Urban,Y
LP000192,Female,No,3+,Not Graduate,No,6763,4650,171,360,1.0,Urban,Y
LP000193,Female,No,0,Graduate,No,4002,0,133,120,1.0,Rural,Y
LP000194,Male,No,1,Graduate,No,2782,960,115,180,0.0,Urban,N
LP000195,Male,Yes,0,Graduate,No,4026,623,201,360,1.0,Urban,Y
LP000196,Male,Yes,0,Graduate,No,4994,2954,66,360,1.0,Rural,Y
LP000197,Male,No,3+,Graduate,No,4069,119,91,360,1.0,Semiurban,Y
LP000198,Female,No,3+,Graduate,Yes,547,3011,123,360,1.0,Urban,N
LP000199,Female,Yes,0,Not Graduate,No,7373,3992,213,120,0.0,Urban,N
LP000200,Male,No,3+,Graduate,No,8204,2912,165,180,1.0,Rural,Y
LP000201,Male,No,1,Graduate,No,6833,2254,91,360,1.0,Rural,Y
LP000202,Male,Yes,2,Graduate,No,2897,219,127,360,0.0,Rural,N
LP000203,Male,Yes,0,Not Graduate,No,4956,445,111,360,1.0,Semiurban,Y
LP000204,Female,Yes,1,Not Graduate,No,5385,3799,105,60,1.0,Semiurban,Y
LP000205,Male,Yes,0,Graduate,No,6717,3046,198,360,1.0,Rural,Y
LP000206,Male,Yes,1,Not Graduate,No,6870,1737,69,360,1.0,Rural,Y
LP000207,Male,No,0,Graduate,No,3784,1131,233,360,1.0,Urban,Y
LP000208,Male,Yes,0,Graduate,No,5580,0,190,180,1.0,Rural,Y
LP000209,Male,Yes,0,Graduate,No,6406,86,204,180,1.0,Urban,Y
LP000210,Male,Yes,1,Graduate,No,8602,4858,119,180,1.0,Urban,Y
LP000211,Male,Yes,0,Graduate,Yes,6949,0,136,360,1.0,Semiurban,Y
LP000212,Male,No,1,Not Graduate,No,7135,2103,66,360,1.0,Semiurban,Y
LP000213,Male,Yes,3+,Not Graduate,No,5584,3411,116,360,1.0,Rural,Y
LP000214,Male,Yes,0,Graduate,No,8503,0,172,180,1.0,Urban,Y
LP000215,Male,No,1,Graduate,No,6301,2095,216,360,1.0,Semiurban,Y
LP000216,Male,Yes,0,Graduate,No,3505,3300,84,180,1.0,Rural,Y
LP000217,Male,Yes,2,Graduate,No,8487,1819,124,120,1.0,Rural,Y
LP000218,Male,Yes,0,Graduate,No,6935,6389,136,120,1.0,Urban,Y
LP000219,Male,Yes,1,Graduate,No,4425,0,68,360,1.0,Semiurban,Y
LP000220,Female,Yes,2,Graduate,No,4345,3493,177,360,1.0,Semiurban,Y
LP000221,Male,Yes,3+,Not Graduate,No,6052,1523,105,360,1.0,Urban,Y
LP000222,Male,Yes,1,Graduate,Yes,6419,3035,134,180,1.0,Rural,Y
LP000223,Male,No,0,Graduate,Yes,5834,2506,120,120,1.0,Rural,Y
LP000224,Male,Yes,1,Not Graduate,No,6084,626,101,360,0.0,Urban,N
LP000225,Male,Yes,2,Graduate,No,9139,2166,144,360,1.0,Urban,Y
LP000226,Male,Yes,1,Graduate,No,7757,0,133,120,1.0,Urban,Y
LP000227,Female,Yes,0,Graduate,Yes,5819,2765,124,120,1.0,Rural,Y
LP000228,Male,No,3+,Graduate,No,7470,2277,104,360,0.0,Urban,N
LP000229,Female,Yes,1,Not Graduate,No,3128,2821,162,180,1.0,Semiurban,Y
LP000230,Male,No,1,Graduate,Yes,6275,3492,235,360,1.0,Semiurban,Y
LP000231,Male,Yes,0,Graduate,Yes,9380,2388,152,360,1.0,Semiurban,Y
LP000232,Male,Yes,1,Not Graduate,No,4920,2036,199,120,0.0,Urban,N
LP000233,Male,Yes,0,Not Graduate,No,3535,390,68,120,1.0,Urban,Y
LP000234,Male,No,1,Not Graduate,No,3965,660,153,180,1.0,Rural,N
LP000235,Male,Yes,0,Graduate,No,3002,3698,84,360,0.0,Rural,N
LP000236,Male,Yes,1,Graduate,No,3673,4098,63,120,0.0,Rural,N
LP000237,Male,Yes,3+,Not Graduate,Yes,4584,1419,104,360,0.0,Urban,N
LP000238,Male,No,0,Not Graduate,No,2307,1873,210,360,1.0,Urban,Y
LP000239,Male,Yes,3+,Graduate,No,5434,352,197,360,1.0,Semiurban,Y
LP000240,Male,No,0,Graduate,No,7385,3676,158,360,1.0,Urban,Y
LP000241,Female,Yes,2,Graduate,No,3402,2864,60,180,1.0,Rural,Y
LP000242,Female,Yes,2,Not Graduate,No,8742,4905,134,180,1.0,Semiurban,Y
LP000243,Female,Yes,1,Graduate,No,6523,394,161,360,1.0,Urban,Y
LP000244,Male,Yes,1,Graduate,No,7667,1195,154,360,1.0,Rural,Y
LP000245,Male,Yes,2,Graduate,No,3952,2170,43,360,1.0,Rural,Y
LP000246,Female,Yes,0,Graduate,No,7279,2834,96,360,1.0,Urban,Y
LP000247,Male,No,0,Not Graduate,Yes,2997,1454,141,180,1.0,Semiurban,N
LP000248,Female,Yes,1,Graduate,Yes,7358,403,174,120,1.0,Urban,Y
LP000249,Female,Yes,2,Not Graduate,No,5778,3210,24,360,1.0,Semiurban,Y
LP000250,Female,Yes,2,Not Graduate,No,6617,2953,136,360,1.0,Urban,Y
LP000251,Male,Yes,2,Graduate,Yes,2813,333,152,180,1.0,Semiurban,Y
LP000252,Male,Yes,0,Graduate,No,3430,3968,191,120,1.0,Rural,Y
LP000253,Female,Yes,2,Graduate,Yes,6713,3672,183,360,1.0,Semiurban,Y
LP000254,Male,Yes,0,Not Graduate,No,3313,2014,177,360,1.0,Urban,Y
LP000255,Male,No,1,Graduate,No,6419,1927,101,180,0.0,Semiurban,N
LP000256,Male,No,0,Graduate,No,2392,2686,40,360,1.0,Urban,Y
LP000257,Female,Yes,0,Not Graduate,No,7265,421,123,360,1.0,Rural,Y
LP000258,Male,Yes,0,Graduate,No,2688,1848,200,180,0.0,Semiurban,N
LP000259,Male,Yes,0,Not Graduate,Yes,6615,0,221,180,1.0,Urban,Y
LP000260,Male,Yes,1,Graduate,No,6776,3202,184,180,0.0,Urban,N
LP000261,Male,Yes,0,Graduate,No,3867,0,168,180,0.0,Rural,N
LP000262,Female,Yes,0,Graduate,No,6680,4205,165,180,1.0,Urban,Y
LP000263,Male,No,0,Not Graduate,No,5972,1271,114,360,0.0,Rural,N
LP000264,Male,No,0,Graduate,Yes,4214,1461,137,360,1.0,Urban,Y
LP000265,Female,Yes,0,Not Graduate,No,3181,795,236,360,1.0,Urban,Y
LP000266,Male,Yes,0,Not Graduate,No,1082,1339,93,360,1.0,Semiurban,N
LP000267,Male,Yes,1,Graduate,No,6169,4069,233,180,1.0,Rural,Y
LP000268,Male,No,1,Not Graduate,No,1957,0,127,120,0.0,Rural,N
LP000269,Male,Yes,1,Graduate,No,5609,3843,217,60,1.0,Urban,Y
LP000270,Male,Yes,0,Graduate,No,4820,2340,67,180,1.0,Semiurban,Y
LP000271,Female,No,0,Graduate,Yes,6894,0,177,360,1.0,Urban,Y
LP000272,Female,Yes,2,Not Graduate,No,4735,79,104,360,1.0,Semiurban,Y
LP000273,Female,No,1,Graduate,No,4675,4482,67,120,1.0,Semiurban,Y
LP000274,Female,Yes,0,Graduate,No,7010,287,157,180,1.0,Rural,Y
LP000275,Male,Yes,0,Graduate,No,6137,0,200,180,0.0,Rural,N
LP000276,Male,Yes,0,Graduate,No,6095,3619,98,180,1.0,Semiurban,Y
LP000277,Male,No,0,Graduate,Yes,6432,2341,62,180,0.0,Semiurban,N
LP000278,Male,No,0,Not Graduate,No,2021,299,139,120,1.0,Rural,N
LP000279,Male,No,1,Not Graduate,No,7064,2146,140,360,1.0,Rural,Y
LP000280,Male,Yes,1,Graduate,No,6747,158,175,180,1.0,Urban,Y
LP000281,Female,No,1,Not Graduate,No,3163,3561,197,120,1.0,Urban,Y
LP000282,Male,Yes,2,Graduate,No,4863,3498,141,360,1.0,Semiurban,Y
LP000283,Male,Yes,2,Not Graduate,No,5313,2651,247,180,0.0,Urban,N
LP000284,Male,No,1,Graduate,Yes,5104,2378,157,360,1.0,Urban,Y
LP000285,Male,Yes,3+,Graduate,No,6134,4617,125,60,0.0,Urban,N
LP000286,Male,Yes,0,Graduate,No,8549,1799,56,360,1.0,Semiurban,Y
LP000287,Male,Yes,0,Not Graduate,No,7779,0,130,180,1.0,Urban,Y
LP000288,Male,Yes,0,Graduate,Yes,2513,2519,126,360,1.0,Urban,Y
LP000289,Male,Yes,1,Graduate,No,6768,5137,197,180,0.0,Urban,N
LP000290,Male,Yes,2,Graduate,No,8323,176,170,360,1.0,Rural,Y
LP000291,Male,Yes,0,Graduate,No,6250,1221,80,360,0.0,Rural,N
LP000292,Male,No,3+,Graduate,Yes,7800,2466,154,360,0.0,Semiurban,N
LP000293,Female,No,0,Not Graduate,No,9826,1713,181,120,1.0,Semiurban,Y
LP000294,Male,Yes,3+,Not Graduate,No,7652,228,229,360,1.0,Rural,Y
LP000295,Male,Yes,0,Graduate,No,5948,3594,193,360,1.0,Urban,Y
LP000296,Male,Yes,0,Not Graduate,No,7699,5512,186,180,1.0,Urban,Y
LP000297,Male,Yes,0,Graduate,No,5718,2113,148,360,1.0,Urban,Y
LP000298,Male,Yes,0,Not Graduate,No,5452,353,166,120,1.0,Urban,Y
LP000299,Male,Yes,0,Not Graduate,No,4626,0,213,360,1.0,Semiurban,Y
LP000300,Male,Yes,0,Graduate,No,8839,2212,71,180,1.0,Rural,Y
LP000301,Male,Yes,2,Not Graduate,No,3599,3566,125,360,1.0,Semiurban,Y
LP000302,Male,Yes,1,Graduate,No,8771,2560,102,360,1.0,Semiurban,Y
LP000303,Male,Yes,0,Graduate,No,6499,1796,165,180,1.0,Rural,Y
LP000304,Male,No,1,Not Graduate,Yes,2321,857,212,180,1.0,Urban,N
LP000305,Male,No,1,Graduate,Yes,6208,52,112,180,1.0,Urban,Y
LP000306,Female,Yes,0,Graduate,Yes,779,3135,13,360,1.0,Semiurban,Y
LP000307,Male,No,0,Graduate,No,6776,3262,122,360,1.0,Semiurban,Y
LP000308,Male,Yes,0,Not Graduate,No,7347,0,195,360,1.0,Urban,Y
LP000309,Male,No,0,Graduate,Yes,4096,4343,174,60,1.0,Semiurban,Y
LP000310,Male,No,1,Graduate,No,5671,2718,168,360,1.0,Semiurban,Y
LP000311,Male,Yes,0,Not Graduate,No,9699,4039,129,360,1.0,Semiurban,Y
LP000312,Male,Yes,1,Not Graduate,No,4287,0,74,360,0.0,Semiurban,N
LP000313,Male,Yes,1,Graduate,No,3070,0,173,180,1.0,Urban,Y
LP000314,Female,Yes,0,Graduate,No,8659,1561,99,360,1.0,Urban,Y
LP000315,Female,Yes,1,Graduate,Yes,9717,2604,265,120,1.0,Semiurban,Y
LP000316,Male,Yes,0,Graduate,No,5408,4674,176,360,1.0,Urban,Y
LP000317,Male,Yes,3+,Graduate,No,7625,2929,113,120,1.0,Rural,Y
LP000318,Male,No,0,Not Graduate,No,8351,1411,111,360,1.0,Semiurban,Y
LP000319,Male,No,2,Graduate,No,3766,157,139,180,1.0,Urban,Y
LP000320,Male,Yes,1,Graduate,No,4332,3768,131,120,1.0,Rural,Y
LP000321,Male,Yes,0,Graduate,Yes,8107,256,206,360,1.0,Semiurban,Y
LP000322,Male,Yes,1,Not Graduate,No,9107,4405,155,60,1.0,Urban,Y
LP000323,Male,Yes,3+,Graduate,No,6638,1344,104,360,0.0,Rural,N
LP000324,Male,No,1,Not Graduate,No,3464,4344,248,120,1.0,Rural,Y
